SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
900,2024-01-02T15:57:16,8.985000000000001,0.5,687.5071268389584,733.5988585688724,720.7122194874239,12.94504500220578,733.6291204375299,741.7039559907673,737.9212966071261,2.5109183936300683
950,2024-01-02T16:27:16,8.4365,0.5,734.9189410359832,784.9647059999039,772.4765075443937,13.661855902438056,784.9944703226314,789.270333656397,788.1530589715877,1.2281172416888253
1000,2024-01-02T16:57:16,13.580333333333334,0.5,785.0946693210863,838.0563045692517,828.4430685249783,12.328061247948868,838.0781808280238,839.1136455576575,838.872439906662,0.24518912211413416
1100,2024-01-02T17:47:06,14.9916,0.5,899.9994492002879,1121.6629285576312,1029.5516740801168,52.27566633328083,874.3734683945261,1121.6822085262763,1047.9168670931542,72.48227572365789
1150,2024-01-02T18:07:16,10.564666666666666,0.5,935.3479629167123,993.2340502189987,982.6460818927992,14.113819970994495,993.2539825944214,995.6177385508832,994.2288708387384,0.4398036718369417
1200,2024-01-02T18:27:16,4.9077,0.5,990.3931641655508,1042.0175863736426,1028.8439235823012,14.36576489311963,1042.0369656121652,1046.3752527204902,1044.574141175952,1.3711914892365429
1250,2024-01-02T18:47:16,5.880333333333334,0.5,1042.7700544880354,1095.8238113714406,1084.9721109661816,12.970732761156034,1095.8337252642796,1097.2216860039134,1096.4898262759984,0.4497303524154203
1300,2024-01-02T18:57:16,7.3232,0.5,1090.9349827449769,1147.3881156772625,1137.8438471506636,12.297793430053762,1147.3981235677024,1149.3678659084385,1148.1948794617597,0.5780377434839171
1350,2024-01-02T19:07:16,5.780666666666666,0.5,1141.9367486373521,1199.7610316434038,1188.8920846807848,13.670206789212125,1199.7678007083155,1201.1118061909733,1200.1743550880128,0.47043923829428325
1400,2024-01-02T19:17:16,8.845233333333335,0.5,1194.8913774150424,1258.9945297462973,1250.0166249788297,13.176270024577459,1257.6872196615723,1259.0853327069467,1258.7686589549435,0.39559733161077765
1450,2024-01-02T19:27:16,5.510800000000001,0.5,1251.1117543352302,1305.8361939054191,1295.903859517221,13.525906117454328,1305.8461770391743,1309.4084824863598,1307.1738172998455,1.03636566125223
1500,2024-01-02T19:37:16,4.760000000000001,0.5,1302.1028144375887,1359.3292628013878,1348.8113213884858,14.074651347999279,1357.8830220214497,1360.2958512620578,1358.9031841485642,0.7155545531772372
1100,2024-01-02T19:47:16,135.99913333333333,0.5,107.89859740490829,1169.8538186859078,368.3448518167714,271.46965682342886,61.3731421792254,107.55764102959984,80.08736513640466,15.230090907478429
600,2023-12-11T09:42:16,70.756,0.5,17.410952264436144,460.6093284572853,326.63061659804663,149.70197080854587,458.4523743714526,463.1329406886143,460.61786273798555,1.3213695742468186
650,2023-12-11T11:17:17,20.98933333333333,0.5,460.9298035259053,497.2707329415283,485.02726444410547,10.135679625596676,497.30922043403166,501.05438830804667,499.8254447861085,1.094328311503375
700,2023-12-11T11:57:17,16.851,0.5,501.6264341280403,537.0480252959196,525.0485757719476,10.293439672187723,537.0823277532573,541.0616913847587,539.6837577658893,1.1683058551921368
750,2023-12-11T12:32:17,17.238,0.5,541.202408110621,582.0916820447678,569.6046945180557,11.319652457234328,582.1248067060498,585.0240124094414,584.2178259922363,0.8423117663218451
800,2023-12-11T13:07:17,16.0744,0.5,584.6676109465334,627.3936303519866,615.7193508743944,11.42070970683082,627.4219206129627,630.0492341864835,629.2308523859848,0.7504557837825735
850,2023-12-11T13:37:17,15.476799999999999,0.5,629.7876229422327,675.7496847987736,662.8008456816299,12.178442142523094,675.7687082666887,676.2101061343785,676.0877784562354,0.11388174936768468
900,2023-12-11T13:57:22,15.6043,0.5,675.9737753725785,725.0507267652378,712.8651348849908,12.778281645351127,725.0896942387924,727.2673096126994,726.8487916655122,0.4810626981995059
950,2023-12-11T14:37:22,14.390666666666668,0.5,727.0951982801344,775.6333566749895,764.0536641124919,12.424892637324769,775.6619798795691,776.9558786290894,776.4355667099671,0.3747668093458318
1000,2023-12-11T15:07:22,7.4152,0.5,776.9136318753663,829.4873277135436,809.4167941780413,14.826827229425053,824.4580571000315,831.0000792411447,827.0675901569083,1.8768511643810462
1050,2023-12-11T15:17:22,15,0.5,831.1161428728228,887.8925261765913,876.9812572778699,13.195998955925845,887.9222991636047,890.213709544837,888.7710832465403,0.6731000361606861
1100,2023-12-11T15:47:22,10.535233333333334,0.5,890.3244490459765,941.3456418831058,929.180602613338,12.439386894181606,941.3645680127461,942.5762937160266,941.7981976262748,0.3840185368419954
1150,2023-12-11T16:07:22,9.200099999999999,0.5,939.553586663329,993.4446172254093,981.508718783946,13.611513194257345,993.4615187620822,995.1920099792002,994.3876247453537,0.4959418816593421
1200,2023-12-11T16:27:22,9.272,0.5,994.9415718856908,1045.7640081852617,1035.5018551316339,12.506035408529117,1045.7348365205603,1046.34121878005,1046.0639411703987,0.20432449196390512
1250,2023-12-11T16:47:22,10.627566666666667,0.5,1045.682695074327,1097.557929510849,1088.8983665123208,11.427520464231055,1097.518048279611,1098.4985776566589,1097.8887112081522,0.2922891311176964
1300,2023-12-11T17:07:22,2.3192,0.5,1097.9891872140158,1197.1286201149162,1146.662089656278,34.650004469486305,646.5727332959113,1197.1295977094815,1062.6581087256018,152.03459857923994
1350,2023-12-11T17:12:22,8.418666666666667,0.5,1144.8496417632414,1203.7105003628105,1194.5536351565013,12.814145045100991,1203.7241276609166,1204.2386771220758,1203.9645484814569,0.13292907883881844
1400,2023-12-11T17:27:22,2.792533333333333,0.5,1202.627539054156,1252.1054621071607,1237.6150678517201,14.555640173074037,1248.8371572363267,1257.0151534718461,1253.193107670708,2.2958270407389034
1450,2023-12-11T17:37:22,6.4521,0.5,1256.0973850875598,1309.8911690718296,1301.3438365291693,11.606614785625101,1309.901350441563,1310.1608093637058,1310.0100825296588,0.07669947242410757
1500,2023-12-11T17:47:27,3.153833333333333,0.5,1310.127407891996,1357.2280437602974,1346.9091530932096,12.677747135621388,1357.2386473888907,1361.6857009038386,1359.6951492720216,1.237547713505447
1100,2023-12-11T17:58:23,5.476466666666667,0.5,987.1962377997133,1364.8419918196741,1091.599510536161,104.16282692676441,433.002309961259,986.398497592852,670.7011807225372,166.3304463819814
